Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
122,Zoe Lofgren (D-Calif),"$2,143,093","$3,844,546","$5,546,000",House
123,Jeanne Shaheen (D-NH),"-$344,974","$3,823,005","$7,990,984",Senate
124,Blaine Luetkemeyer (R-Mo),"$1,466,006","$3,765,503","$6,065,000",House
125,Jon Tester (D-Mont),"$1,284,008","$3,672,003","$6,059,999",Senate
126,Virginia Foxx (R-NC),"$2,240,032","$3,670,516","$5,101,000",House
127,David Price (D-NC),"$1,910,084","$3,568,042","$5,226,000",House
128,Ted Lieu (D-Calif),"$1,049,040","$3,533,519","$6,017,999",House
129,Kamala Harris (D-Calif),"$1,592,053","$3,499,026","$5,405,999",Senate
130,Doug LaMalfa (R-Calif),"$1,281,008","$3,498,504","$5,716,000",House
131,Bill Flores (R-Texas),"$3,490,195","$3,490,195","$3,490,195",House
132,Maggie Hassan (D-NH),"$1,478,086","$3,467,042","$5,455,998",Senate
133,Susan Brooks (R-Ind),"$2,412,037","$3,428,519","$4,445,001",House
134,David P Joyce (R-Ohio),"$1,905,063","$3,415,031","$4,925,000",House
135,Frank Pallone Jr. (D-NJ),"$1,768,105","$3,413,551","$5,058,998",House
136,John Carter (R-Texas),"$1,067,008","$3,373,503","$5,679,999",House
137,Matt Cartwright (D-Pa),"$3,305,306","$3,305,306","$3,305,306",House
138,Andy Harris (R-Md),"$1,918,038","$3,244,519","$4,571,000",House
139,Ted Cruz (R-Texas),"-$9,027,848","$3,198,068","$15,423,985",Senate
140,Ben Cardin (D-Md),"$1,602,092","$3,112,546","$4,623,000",Senate
141,Diana DeGette (D-Colo),"$1,680,051","$3,095,025","$4,509,999",House
142,Ted Yoho (R-Fla),"$2,015,944","$3,089,937","$4,163,931",House
143,David Kustoff (R-Tenn),"$1,590,084","$3,048,541","$4,506,999",House
144,Alan Lowenthal (D-Calif),"$1,301,143","$3,015,071","$4,729,000",House
145,Pat Roberts (R-Kan),"$1,680,030","$2,966,514","$4,252,999",Senate
